No,周目,イベント名,形式,ユニット,タイプ,書き下ろし楽曲,開始日,終了日,日数,参加人数
45,7,祈りの先 願う明日は,チアフル,混合,キュート,-,2021-12-31 15:00:00,2022-01-10 21:00:00,10,2015000.0
46,7,POP IN MY HEART!!,通常,4_WxS,クール,にっこり^^調査隊のテーマ,2022-01-12 15:00:00,2022-01-19 21:00:00,7,1692000.0
47,7,いつか、絶望の底から,通常,5_25,ピュア,トリコロージュ,2022-01-21 15:00:00,2022-01-29 21:00:00,8,1854000.0
48,7,秘密の♡バレンタイン大作戦！,チアフル,混合,ハッピー,-,2022-01-31 15:00:00,2022-02-07 21:00:00,7,1858000.0
49,7,Legend still vivid,通常,3_VBS,ミステリアス,Flyer!,2022-02-09 15:00:00,2022-02-16 21:00:00,7,1840000.0
50,7,あの日、空は遠かった,通常,1_L/n,ピュア,Peaky Peaky,2022-02-18 15:00:00,2022-02-26 21:00:00,8,1834000.0
51,7,怪盗紳士のハラハラ！？ホワイトデー,チアフル,混合,ミステリアス,-,2022-02-28 15:00:00,2022-03-09 21:00:00,9,1965000.0
52,7,Cast Spell on You,通常,2_MMJ,ピュア,メタモリボン,2022-03-11 15:00:00,2022-03-18 21:00:00,7,1887000.0
53,8,空白のキャンバスに描く私は,通常,5_25,クール,ノマド,2022-03-20 15:00:00,2022-03-28 21:00:00,8,2052000.0
54,8,セカイの桜、つながる想い,チアフル,0_VS,ハッピー,-,2022-03-30 15:00:00,2022-04-09 21:00:00,10,2405000.0
55,8,まばゆい光のステージで,通常,4_WxS,キュート,88☆彡,2022-04-11 15:00:00,2022-04-19 21:00:00,8,2004000.0
56,8,Live with memories,通常,1_L/n,ミステリアス,オーダーメイド,2022-04-21 15:00:00,2022-04-28 21:00:00,7,1973000.0
57,8,つなぐPainful Hope,チアフル,2_MMJ,クール,イフ,2022-04-30 15:00:00,2022-05-08 21:00:00,8,2104000.0
58,8,白熱！神高応援団！,通常,混合,クール,-,2022-05-10 15:00:00,2022-05-18 21:00:00,8,2100000.0
59,8,THE POWER OF UNITY,通常,3_VBS,キュート,月光,2022-05-20 15:00:00,2022-05-29 21:00:00,9,2221000.0
60,9,青空に願うユア・ハピネス！,チアフル,混合,ピュア,-,2022-05-31 15:00:00,2022-06-08 21:00:00,8,2038000.0
61,9,迷い子の手を引く、そのさきは,通常,5_25,クール,バグ,2022-06-10 15:00:00,2022-06-18 21:00:00,8,2160000.0
62,9,絶体絶命！？アイランドパニック！,通常,4_WxS,ハッピー,星空のメロディー,2022-06-20 15:00:00,2022-06-28 21:00:00,8,2252000.0
63,9,みんなでエンジョイ！スポジョイパーク,チアフル,混合,ハッピー,-,2022-06-30 15:00:00,2022-07-09 21:00:00,9,2461000.0
64,9,The Vivid Old Tale,通常,3_VBS,ミステリアス,街,2022-07-11 15:00:00,2022-07-19 21:00:00,8,2325000.0
65,9,No seek No find,通常,1_L/n,キュート,てらてら,2022-07-21 15:00:00,2022-07-29 21:00:00,8,2417000.0
66,9,close game/OFFLINE,チアフル,混合,キュート,-,2022-07-31 15:00:00,2022-08-08 21:00:00,8,2402000.0
67,9,青空の先、輝きを追いかけて,通常,2_MMJ,クール,パラソルサイダー,2022-08-10 15:00:00,2022-08-18 21:00:00,8,2337000.0
68,10,そしていま、リボンを結んで,通常,5_25,キュート,君の夜をくれ,2022-08-20 15:00:00,2022-08-29 21:00:00,9,2243000.0
69,10,Don't lose faith!,チアフル,1_L/n,ピュア,Voices,2022-08-31 15:00:00,2022-09-07 21:00:00,7,1994000.0
70,10,好きを描いて♪レインボーキャンバス,通常,混合,ミステリアス,-,2022-09-09 15:00:00,2022-09-18 21:00:00,9,2093000.0
71,10,Walk on and on,通常,3_VBS,クール,虚ろを扇ぐ,2022-09-20 15:00:00,2022-09-28 21:00:00,8,2093000.0
72,10,この祭に 夕闇色も,チアフル,混合,ピュア,-,2022-09-30 15:00:00,2022-10-10 21:00:00,10,2904000.0
73,10,拝啓、あの頃のわたしへ,通常,2_MMJ,キュート,DREAM PLACE,2022-10-12 15:00:00,2022-10-19 21:00:00,7,2213000.0
